	token	index
3	영화	9812
5	10	8541
24	어요	2227
25	음악	2122
27	너무	2088
35	습니다	1592
39	네요	1497
41	지만	1445
42	ㅂ니다	1399
44	는데	1290
45	마지막	1287
46	최고	1243
47	사랑	1162
51	노래	1073
52	아름답	1066
54	어서	1049
55	으로	1042
56	뮤지컬	1038
58	에서	1029
60	정말	1025
61	인생	1007
65	여운	895
66	생각	892
67	재밌	879
70	스토리	863
73	지루	823
77	ㄴ다	751
78	장면	709
79	영상미	708
81	사람	698
84	아니	655
85	아요	624
86	슬프	609
89	진짜	589
91	결말	579
93	느낌	563
95	까지	551
96	나오	543
97	영상	543
98	아서	542
99	현실	540
100	처음	533
101	기대	526
103	감동	508
106	배우	497
107	연기	491
109	재즈	473
110	면서	473
111	다시	470
112	랜드	465
113	보다	452
114	만들	447
117	그냥	437
119	중간	433
120	눈물	422
122	엔딩	416
123	내용	414
126	좋아하	400
128	시간	393
132	모르	370
133	내내	369
134	실적	369
135	연출	366
138	행복	362
139	마음	361
141	감독	358
143	재미있	354
144	대하	351
145	예쁘	348
147	남자	344
150	ㄴ데	341
151	부터	341
152	평점	340
154	끝나	339
157	모든	333
159	슬링	329
160	라이	329
163	가슴	324
164	많이	324
166	이야기	321
167	에게	318
169	추천	316
171	다가	313
172	ㄴ지	313
173	못하	304
174	주인공	303
175	모두	302
176	감정	300
177	즐겁	297
178	계속	297
179	한번	297
181	스톤	291
183	올해	289
186	그렇	285
187	위하	285
188	아쉽	285
189	부분	284
190	여자	282
191	느끼	278
193	색감	276
195	멋지	268
196	라고	268
197	감동적	268
198	이루	266
199	완벽	260
201	스럽	259
202	서로	259
204	아름	258
206	하나	256
208	조금	253
210	기분	250
214	친구	246
215	그리하	244
216	라는	243
217	듯하	242
218	재미	240
219	우리	238
221	으면	234
224	다는	227
226	정도	221
227	아도	220
231	이쁘	215
232	ㄴ가	213
233	이런	213
235	빠지	206
236	별로	205
237	그리고	204
238	황홀	203
239	피아노	201
241	눈빛	200
242	만하	198
243	보고	197
245	함께	195
246	너무나	195
247	꿈꾸	194
248	이렇	193
249	이상	192
251	다고	188
252	그리	188
254	몰입	187
255	는지	186
256	이해	186
257	기억	186
258	세요	184
259	처럼	183
260	초반	182
262	공감	181
263	ost	179
265	작품	178
266	아야	178
267	오랜만	177
269	무엇	175
270	로맨스	173
271	개인적	171
272	없이	171
274	아깝	170
275	동화	169
276	ㄹ까	169
278	으나	168
279	괜찮	167
280	배경	166
281	생각나	165
282	하지만	165
283	이랑	163
285	가장	161
286	영화관	161
287	강추	160
288	다면	159
289	표현	157
290	말하	156
291	아직	156
293	환상적	155
294	버리	154
296	해지	153
297	미아	153
298	지금	152
300	잔잔	152
301	번째	150
303	이나	149
306	어야	148
307	너무너무	148
308	때문	146
310	관람	146
312	열정	146
313	전개	145
314	같이	145
315	시작	144
318	뻔하	141
319	재미없	140
320	호불호	140
321	약간	139
325	아프	137
326	을까	137
327	플래쉬	137
328	하다	136
329	이것	136
330	특히	136
331	아주	135
335	만큼	134
337	그러	134
338	연인	133
339	자체	131
341	혼자	131
343	예술	130
344	순간	128
345	오프닝	128
346	여도	128
347	에요	127
348	마법	127
354	가지	121
355	다른	121
358	음악도	119
359	모습	118
362	미소	117
363	한편	117
364	연주	117
365	해피엔딩	116
366	감성	115
367	취향	115
368	갈리	115
369	보여주	114
